"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","point_number","method"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,1,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,2,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,3,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,4,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,5,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,6,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,7,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,8,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,9,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,10,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,11,119,"RQ"
6,6,1,2,"true","true",512,4,1.1835008391896e-10,12,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,13,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,14,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,15,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,16,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,17,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,18,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,19,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,20,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,21,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,22,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,23,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,24,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,25,119,"RQ"
24,6,1,4,"true","true",32,2,2.10300539339866e-10,26,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,27,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,28,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,29,119,"RQ"
16,4,1,4,"true","true",1024,8,1.95431854444634e-10,30,114,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,31,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,32,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,33,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,34,119,"RQ"
16,4,1,4,"true","true",1024,4,1.99000880477294e-10,35,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,36,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,37,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,38,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,39,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,40,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,41,119,"RQ"
4,4,1,4,"true","true",1024,16,1.27991660200843e-10,42,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,43,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,44,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,45,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,46,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,47,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,48,119,"RQ"
5,5,1,4,"true","true",1024,16,1.26535757573826e-10,49,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,50,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,51,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,52,119,"RQ"
16,4,1,4,"true","true",1024,8,1.95431854444634e-10,53,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,54,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,55,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,56,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,57,119,"RQ"
6,6,1,2,"true","true",512,4,1.1835008391896e-10,58,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,59,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,60,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,61,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,62,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,63,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,64,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,65,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,66,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,67,119,"RQ"
5,5,1,2,"true","false",1024,8,1.22360757184054e-10,68,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,69,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,70,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,71,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,72,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,73,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,74,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,75,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,76,119,"RQ"
16,4,1,4,"true","true",1024,8,1.95431854444634e-10,77,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,78,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,79,119,"RQ"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,80,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,81,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,82,119,"RQ"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,83,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,84,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,85,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,86,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,87,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,88,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,89,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,90,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,91,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,92,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,93,119,"RQ"
6,6,1,2,"true","true",512,4,1.1835008391896e-10,94,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,95,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,96,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,97,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,98,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,99,119,"RQ"
24,6,1,2,"true","false",32,1,1.62821242616163e-10,100,119,"RQ"
